"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","733","Invalid Case: Update with an invalid ID format","","Fri Jan 03 10:06:45 IST 2025","failed","Fri Jan 03 10:06:46 IST 2025","","API_Update Book","API_Update Book","Invalid Case: Update with an invalid ID format"
"","9193","Complete Order Placement","","Fri Jan 03 10:06:52 IST 2025","passed","Fri Jan 03 10:07:01 IST 2025","","UI_Checkout Process 1 Testing","UI_Checkout Process 1 Testing","Complete Order Placement"
"","1114","Empty Cart Validation","","Fri Jan 03 10:08:15 IST 2025","passed","Fri Jan 03 10:08:16 IST 2025","","UI_Shopping Cart Testing","UI_Shopping Cart Testing","Empty Cart Validation"
"","623","Invalid Case: Update with an empty request body","","Fri Jan 03 10:06:47 IST 2025","failed","Fri Jan 03 10:06:48 IST 2025","","API_Update Book","API_Update Book","Invalid Case: Update with an empty request body"
"","966","Navigate Back to Product List","","Fri Jan 03 10:07:42 IST 2025","passed","Fri Jan 03 10:07:43 IST 2025","","UI_Product Details Page Testing","UI_Product Details Page Testing","Navigate Back to Product List"
"","3410","Valid Case: Get All Books","","Fri Jan 03 10:06:32 IST 2025","passed","Fri Jan 03 10:06:36 IST 2025","","API_Get All Books","API_Get All Books","Valid Case: Get All Books"
"","1151","Verify Sorting by Price (High to Low)","","Fri Jan 03 10:07:55 IST 2025","passed","Fri Jan 03 10:07:56 IST 2025","","UI_Product Listing Page Testing","UI_Product Listing Page Testing","Verify Sorting by Price (High to Low)"
"","2260","Submit Valid Checkout Information","","Fri Jan 03 10:07:01 IST 2025","passed","Fri Jan 03 10:07:03 IST 2025","","UI_Checkout Process 1 Testing","UI_Checkout Process 1 Testing","Submit Valid Checkout Information"
"","532","Authorization Case: Call the API without authorization headers","","Fri Jan 03 10:06:20 IST 2025","failed","Fri Jan 03 10:06:21 IST 2025","","API_Create Books","API_Create Books","Authorization Case: Call the API without authorization headers"
"","210","Valid Case: Create a book with mandatory parameters","","Fri Jan 03 10:06:19 IST 2025","passed","Fri Jan 03 10:06:19 IST 2025","","API_Create Books","API_Create Books","Valid Case: Create a book with mandatory parameters"
"","1099","Verify Sorting by Price (Low to High)","","Fri Jan 03 10:08:01 IST 2025","passed","Fri Jan 03 10:08:02 IST 2025","","UI_Product Listing Page Testing","UI_Product Listing Page Testing","Verify Sorting by Price (Low to High)"
"","353","Invalid Case: Update with a non-existent ID","","Fri Jan 03 10:06:45 IST 2025","passed","Fri Jan 03 10:06:45 IST 2025","","API_Update Book","API_Update Book","Invalid Case: Update with a non-existent ID"
"","1520","Cancel Checkout and Return to Cart","","Fri Jan 03 10:07:07 IST 2025","passed","Fri Jan 03 10:07:08 IST 2025","","UI_Checkout Process 1 Testing","UI_Checkout Process 1 Testing","Cancel Checkout and Return to Cart"
"","984","Verify Product Details Information","","Fri Jan 03 10:07:41 IST 2025","passed","Fri Jan 03 10:07:42 IST 2025","","UI_Product Details Page Testing","UI_Product Details Page Testing","Verify Product Details Information"
